,编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
,CPC00025,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"3/8""x1/4""",,个,,KG,
,CPC00026,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00027,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00028,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00029,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00030,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00031,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00032,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00033,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00034,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00035,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00036,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00049,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x1/4""",,个,,KG,
,CPC00050,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00051,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.13,KG,
,CPC00052,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00053,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.16,KG,
,CPC00054,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00055,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,,KG,
,CPC00056,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13,KG,
,CPC00057,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13,KG,
,CPC00058,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,,KG,
,CPC00059,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.2,KG,
,CPC00060,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.1,KG,
,CPC00061,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x3/8""",,个,,KG,
,CPC00062,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00063,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00064,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00065,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00066,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00067,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,0.13,KG,
,CPC00068,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,KG,
,CPC00069,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,KG,
,CPC00070,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,,KG,
,CPC00071,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.2,KG,
,CPC00072,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.1,KG,
,CPC00085,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"3/4""x1/4""",,个,,KG,
,CPC00086,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00087,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00088,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00089,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,0.28,KG,
,CPC00090,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00091,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,KG,
,CPC00092,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,KG,
