,编码,类型,英文品名,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级 ,公称直径,外径/Φ,单位,单重,单重单位,备注,
,SPC00025,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00026,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00027,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00028,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00029,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00030,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,Kg,,
,SPC00031,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,Kg,,
,SPC00032,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,Kg,,
,SPC00033,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,Kg,,
,SPC00034,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,Kg,,
,SPC00035,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,Kg,,
,SPC00036,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,Kg,,
,SPC00049,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x1/4""",,个,,Kg,,
,SPC00050,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,Kg,,
,SPC00051,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.13 ,Kg,,
,SPC00052,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,Kg,,
,SPC00053,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.16 ,Kg,,
,SPC00054,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,Kg,,
,SPC00055,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,,Kg,,
,SPC00056,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13 ,Kg,,
,SPC00057,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13 ,Kg,,
,SPC00058,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,,Kg,,
,SPC00059,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.20 ,Kg,,
,SPC00060,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.10 ,Kg,,
,SPC00061,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00062,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00063,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00064,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00065,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00066,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00067,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,0.13 ,Kg,,
,SPC00068,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,Kg,,
,SPC00069,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,Kg,,
