编号,品名,型号,材料牌号,材料标准,规格标准,尺寸,制造形式,RCC-M,质保等级,单位,单重,单重单位,备注
SWI00100,工字钢,I10,Q235C,GB/T 700-2006,GB/T 706-2016,100x68,热轧型钢,S1,QA3,M,11.261,Kg,高x宽
SWI00101,工字钢,I12,Q235C,GB/T 700-2006,GB/T 706-2016,120x74,热轧型钢,S1,QA3,M,13.987,Kg,高x宽
SWI00102,工字钢,I12.6,Q235C,GB/T 700-2006,GB/T 706-2016,126x74,热轧型钢,S1,QA3,M,14.223,Kg,高x宽
SWI00103,工字钢,I14,Q235C,GB/T 700-2006,GB/T 706-2016,140x80,热轧型钢,S1,QA3,M,16.89,Kg,高x宽
SWI00104,工字钢,I16,Q235C,GB/T 700-2006,GB/T 706-2016,160x88,热轧型钢,S1,QA3,M,20.513,Kg,高x宽
SWI00105,工字钢,I18,Q235C,GB/T 700-2006,GB/T 706-2016,180x94,热轧型钢,S1,QA3,M,24.143,Kg,高x宽
SWI00106,工字钢,I20a,Q235C,GB/T 700-2006,GB/T 706-2016,200x100,热轧型钢,S1,QA3,M,27.929,Kg,高x宽
SWI00107,工字钢,I20b,Q235C,GB/T 700-2006,GB/T 706-2016,200x102,热轧型钢,S1,QA3,M,31.069,Kg,高x宽
SWI00108,工字钢,I22a,Q235C,GB/T 700-2006,GB/T 706-2016,220x110,热轧型钢,S1,QA3,M,33.07,Kg,高x宽
SWI00109,工字钢,I22b,Q235C,GB/T 700-2006,GB/T 706-2016,220x112,热轧型钢,S1,QA3,M,36.524,Kg,高x宽
SWI00110,工字钢,I24a,Q235C,GB/T 700-2006,GB/T 706-2016,240x116,热轧型钢,S1,QA3,M,37.477,Kg,高x宽
SWI00111,工字钢,I24b,Q235C,GB/T 700-2006,GB/T 706-2016,240x118,热轧型钢,S1,QA3,M,41.245,Kg,高x宽
SWI00112,工字钢,I25a,Q235C,GB/T 700-2006,GB/T 706-2016,250x116,热轧型钢,S1,QA3,M,38.105,Kg,高x宽
SWI00113,工字钢,I25b,Q235C,GB/T 700-2006,GB/T 706-2016,250x118,热轧型钢,S1,QA3,M,42.03,Kg,高x宽
SWI00114,工字钢,I27a,Q235C,GB/T 700-2006,GB/T 706-2016,270x122,热轧型钢,S1,QA3,M,42.825,Kg,高x宽
SWI00115,工字钢,I27b,Q235C,GB/T 700-2006,GB/T 706-2016,270x124,热轧型钢,S1,QA3,M,47.064,Kg,高x宽
SWI00116,工字钢,I28a,Q235C,GB/T 700-2006,GB/T 706-2016,280x122,热轧型钢,S1,QA3,M,43.492,Kg,高x宽
SWI00117,工字钢,I28b,Q235C,GB/T 700-2006,GB/T 706-2016,280x124,热轧型钢,S1,QA3,M,47.888,Kg,高x宽
SWI00118,工字钢,I30a,Q235C,GB/T 700-2006,GB/T 706-2016,300x126,热轧型钢,S1,QA3,M,48.084,Kg,高x宽
SWI00119,工字钢,I30b,Q235C,GB/T 700-2006,GB/T 706-2016,300x128,热轧型钢,S1,QA3,M,52.794,Kg,高x宽
SWI00120,工字钢,I30c,Q235C,GB/T 700-2006,GB/T 706-2016,300x130,热轧型钢,S1,QA3,M,57.504,Kg,高x宽
SWI00121,工字钢,I32a,Q235C,GB/T 700-2006,GB/T 706-2016,320x130,热轧型钢,S1,QA3,M,52.717,Kg,高x宽
SWI00122,工字钢,I32b,Q235C,GB/T 700-2006,GB/T 706-2016,320x132,热轧型钢,S1,QA3,M,57.741,Kg,高x宽
SWI00123,工字钢,I32c,Q235C,GB/T 700-2006,GB/T 706-2016,320x134,热轧型钢,S1,QA3,M,62.765,Kg,高x宽
SWI00124,工字钢,I36a,Q235C,GB/T 700-2006,GB/T 706-2016,360x136,热轧型钢,S1,QA3,M,60.037,Kg,高x宽
SWI00125,工字钢,I36b,Q235C,GB/T 700-2006,GB/T 706-2016,360x138,热轧型钢,S1,QA3,M,65.689,Kg,高x宽
SWI00126,工字钢,I36c,Q235C,GB/T 700-2006,GB/T 706-2016,360x140,热轧型钢,S1,QA3,M,71.341,Kg,高x宽
SWI00127,工字钢,I40a,Q235C,GB/T 700-2006,GB/T 706-2016,400x142,热轧型钢,S1,QA3,M,67.598,Kg,高x宽
SWI00128,工字钢,I40b,Q235C,GB/T 700-2006,GB/T 706-2016,400x144,热轧型钢,S1,QA3,M,73.878,Kg,高x宽
SWI00129,工字钢,I40c,Q235C,GB/T 700-2006,GB/T 706-2016,400x146,热轧型钢,S1,QA3,M,80.158,Kg,高x宽
SWI00130,工字钢,I45a,Q235C,GB/T 700-2006,GB/T 706-2016,450x150,热轧型钢,S1,QA3,M,80.42,Kg,高x宽
SWI00131,工字钢,I45b,Q235C,GB/T 700-2006,GB/T 706-2016,450x152,热轧型钢,S1,QA3,M,87.485,Kg,高x宽
SWI00132,工字钢,I45c,Q235C,GB/T 700-2006,GB/T 706-2016,450x154,热轧型钢,S1,QA3,M,94.55,Kg,高x宽
SWI00133,工字钢,I50a,Q235C,GB/T 700-2006,GB/T 706-2016,500x158,热轧型钢,S1,QA3,M,93.654,Kg,高x宽
SWI00134,工字钢,I50b,Q235C,GB/T 700-2006,GB/T 706-2016,500x160,热轧型钢,S1,QA3,M,101.504,Kg,高x宽
SWI00135,工字钢,I50c,Q235C,GB/T 700-2006,GB/T 706-2016,500x162,热轧型钢,S1,QA3,M,109.354,Kg,高x宽
SWI00136,工字钢,I55a,Q235C,GB/T 700-2006,GB/T 706-2016,550x166,热轧型钢,S1,QA3,M,105.335,Kg,高x宽
SWI00137,工字钢,I55b,Q235C,GB/T 700-2006,GB/T 706-2016,550x168,热轧型钢,S1,QA3,M,113.97,Kg,高x宽
SWI00138,工字钢,I55c,Q235C,GB/T 700-2006,GB/T 706-2016,550x170,热轧型钢,S1,QA3,M,122.605,Kg,高x宽
SWI00139,工字钢,I56a,Q235C,GB/T 700-2006,GB/T 706-2016,560x166,热轧型钢,S1,QA3,M,106.316,Kg,高x宽
SWI00140,工字钢,I56b,Q235C,GB/T 700-2006,GB/T 706-2016,560x168,热轧型钢,S1,QA3,M,115.108,Kg,高x宽
SWI00141,工字钢,I56c,Q235C,GB/T 700-2006,GB/T 706-2016,560x170,热轧型钢,S1,QA3,M,123.9,Kg,高x宽
SWI00142,工字钢,I63a,Q235C,GB/T 700-2006,GB/T 706-2016,630x176,热轧型钢,S1,QA3,M,121.407,Kg,高x宽
SWI00143,工字钢,I63b,Q235C,GB/T 700-2006,GB/T 706-2016,630x178,热轧型钢,S1,QA3,M,131.298,Kg,高x宽
SWI00144,工字钢,I63c,Q235C,GB/T 700-2006,GB/T 706-2016,630x180,热轧型钢,S1,QA3,M,141.189,Kg,高x宽
SWC00100,槽钢,[5,Q235C,GB/T 700-2006,GB/T 706-2016,50x37,热轧型钢,S1,QA3,M,5.438,Kg,高x宽
SWC00101,槽钢,[6.3,Q235C,GB/T 700-2006,GB/T 706-2016,63x40,热轧型钢,S1,QA3,M,6.634,Kg,高x宽
SWC00102,槽钢,[6.5,Q235C,GB/T 700-2006,GB/T 706-2016,65x40,热轧型钢,S1,QA3,M,6.709,Kg,高x宽
SWC00103,槽钢,[8,Q235C,GB/T 700-2006,GB/T 706-2016,80x43,热轧型钢,S1,QA3,M,8.045,Kg,高x宽
SWC00104,槽钢,[10,Q235C,GB/T 700-2006,GB/T 706-2016,100x48,热轧型钢,S1,QA3,M,10.007,Kg,高x宽
SWC00105,槽钢,[12,Q235C,GB/T 700-2006,GB/T 706-2016,120x53,热轧型钢,S1,QA3,M,12.059,Kg,高x宽
SWC00106,槽钢,[12.6,Q235C,GB/T 700-2006,GB/T 706-2016,126x53,热轧型钢,S1,QA3,M,12.318,Kg,高x宽
SWC00107,槽钢,[14a,Q235C,GB/T 700-2006,GB/T 706-2016,140x58,热轧型钢,S1,QA3,M,14.535,Kg,高x宽
SWC00108,槽钢,[14b,Q235C,GB/T 700-2006,GB/T 706-2016,140x60,热轧型钢,S1,QA3,M,16.733,Kg,高x宽
SWC00109,槽钢,[16a,Q235C,GB/T 700-2006,GB/T 706-2016,160x63,热轧型钢,S1,QA3,M,17.24,Kg,高x宽
SWC00110,槽钢,[16b,Q235C,GB/T 700-2006,GB/T 706-2016,160x65,热轧型钢,S1,QA3,M,19.752,Kg,高x宽
SWC00111,槽钢,[18a,Q235C,GB/T 700-2006,GB/T 706-2016,180x68,热轧型钢,S1,QA3,M,20.174,Kg,高x宽
SWC00112,槽钢,[18b,Q235C,GB/T 700-2006,GB/T 706-2016,180x70,热轧型钢,S1,QA3,M,23,Kg,高x宽
SWC00113,槽钢,[20a,Q235C,GB/T 700-2006,GB/T 706-2016,200x73,热轧型钢,S1,QA3,M,22.637,Kg,高x宽
SWC00114,槽钢,[20b,Q235C,GB/T 700-2006,GB/T 706-2016,200x75,热轧型钢,S1,QA3,M,25.777,Kg,高x宽
SWC00115,槽钢,[22a,Q235C,GB/T 700-2006,GB/T 706-2016,220x77,热轧型钢,S1,QA3,M,24.999,Kg,高x宽
SWC00116,槽钢,[22b,Q235C,GB/T 700-2006,GB/T 706-2016,220x79,热轧型钢,S1,QA3,M,28.453,Kg,高x宽
SWC00117,槽钢,[24a,Q235C,GB/T 700-2006,GB/T 706-2016,240x78,热轧型钢,S1,QA3,M,26.86,Kg,高x宽
SWC00118,槽钢,[24b,Q235C,GB/T 700-2006,GB/T 706-2016,240x80,热轧型钢,S1,QA3,M,30.628,Kg,高x宽
SWC00119,槽钢,[24c,Q235C,GB/T 700-2006,GB/T 706-2016,240x82,热轧型钢,S1,QA3,M,34.396,Kg,高x宽
SWC00120,槽钢,[25a,Q235C,GB/T 700-2006,GB/T 706-2016,250x78,热轧型钢,S1,QA3,M,27.41,Kg,高x宽
SWC00121,槽钢,[25b,Q235C,GB/T 700-2006,GB/T 706-2016,250x80,热轧型钢,S1,QA3,M,31.335,Kg,高x宽
SWC00122,槽钢,[25c,Q235C,GB/T 700-2006,GB/T 706-2016,250x82,热轧型钢,S1,QA3,M,35.26,Kg,高x宽
SWC00123,槽钢,[27a,Q235C,GB/T 700-2006,GB/T 706-2016,270x82,热轧型钢,S1,QA3,M,30.838,Kg,高x宽
SWC00124,槽钢,[27b,Q235C,GB/T 700-2006,GB/T 706-2016,270x84,热轧型钢,S1,QA3,M,35.077,Kg,高x宽
SWC00125,槽钢,[27c,Q235C,GB/T 700-2006,GB/T 706-2016,270x86,热轧型钢,S1,QA3,M,39.316,Kg,高x宽
SWC00126,槽钢,[28a,Q235C,GB/T 700-2006,GB/T 706-2016,280x82,热轧型钢,S1,QA3,M,31.427,Kg,高x宽
SWC00127,槽钢,[28b,Q235C,GB/T 700-2006,GB/T 706-2016,280x84,热轧型钢,S1,QA3,M,35.823,Kg,高x宽
SWC00128,槽钢,[28c,Q235C,GB/T 700-2006,GB/T 706-2016,280x86,热轧型钢,S1,QA3,M,40.219,Kg,高x宽
SWC00129,槽钢,[30a,Q235C,GB/T 700-2006,GB/T 706-2016,300x85,热轧型钢,S1,QA3,M,34.463,Kg,高x宽
SWC00130,槽钢,[30b,Q235C,GB/T 700-2006,GB/T 706-2016,300x87,热轧型钢,S1,QA3,M,39.173,Kg,高x宽
SWC00131,槽钢,[30c,Q235C,GB/T 700-2006,GB/T 706-2016,300x89,热轧型钢,S1,QA3,M,43.883,Kg,高x宽
SWC00132,槽钢,[32a,Q235C,GB/T 700-2006,GB/T 706-2016,320x88,热轧型钢,S1,QA3,M,38.083,Kg,高x宽
