,,,,,,,,,,,,,,,
编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
SPC00025,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,3/8"x1/4",,个,,Kg,
SPC00026,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,3/8"x1/4",,个,,Kg,
SPC00027,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,3/8"x1/4",,个,,Kg,
SPC00028,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,3/8"x1/4",,个,,Kg,
SPC00029,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,3/8"x1/4",,个,,Kg,
SPC00030,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,3/8"x1/4",,个,,Kg,
SPC00031,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,3/8"x1/4",,个,,Kg,
SPC00032,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,3/8"x1/4",,个,,Kg,
SPC00033,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,3/8"x1/4",,个,,Kg,
SPC00034,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,3/8"x1/4",,个,,Kg,
SPC00035,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,3/8"x1/4",,个,,Kg,
SPC00036,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,3/8"x1/4",,个,,Kg,
SPC00049,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,1/2"x1/4",,个,,Kg,
SPC00050,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1/2"x1/4",,个,,Kg,
SPC00051,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1/2"x1/4",,个,0.13,Kg,
SPC00052,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1/2"x1/4",,个,,Kg,
SPC00053,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1/2"x1/4",,个,0.16,Kg,
SPC00054,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1/2"x1/4",,个,,Kg,
SPC00055,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1/2"x1/4",,个,,Kg,
SPC00056,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1/2"x1/4",,个,0.13,Kg,
SPC00057,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1/2"x1/4",,个,0.13,Kg,
SPC00058,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1/2"x1/4",,个,,Kg,
SPC00059,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1/2"x1/4",,个,0.2,Kg,
SPC00060,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1/2"x1/4",,个,0.1,Kg,
SPC00061,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,1/2"x3/8",,个,,Kg,
SPC00062,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1/2"x3/8",,个,,Kg,
SPC00063,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1/2"x3/8",,个,,Kg,
SPC00064,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1/2"x3/8",,个,,Kg,
