noun_hash,noun_name,attr_hashes,attr_names,count
0x000009A7,,0x0016B04A,ERNUA,1
0x0000015F,,0x0016BA65, FRUA,1
0x00000825,,0x0016BB46,INRUA,1
0x00000B3C,,0x0016CF23,RMYUA,1
0x00000C7D,,0x0016DD88,DOCVA,1
0x0000038B,,0x0016EF06;0x0016EF0F, SIVA;ISIVA,2
0x00000B91,,0x001709DC,LCSVA,1
0x00000C9F,,0x00170A0D,GESVA,1
0x00000B9A,,0x00170AEC,NMSVA,1
0x00000AEF,,0x00170AEC,NMSVA,1
0x00000BE1,,0x00170AF6,XMSVA,1
0x00000B10,,0x00170AF6,XMSVA,1
0x000001AA,,0x00172F77;0x00172F7E, IEWA;GIEWA,2
0x00000A9F,,0x00173A68,TDIWA,1
0x000009E0,,0x00173C0C,HTIWA,1
0x000010D9,,0x0018A6AD,OBBAB,1
0x00000D74,,0x0018A726,AGBAB,1
0x00000FDE,,0x0018A769,NIBAB,1
0x000009D2,,0x0018B640,FOGAB,1
0x00001142,,0x0018B6AF,ISGAB,1
0x000000B1,,0x0018D464;0x0018D46D, DRAB;IDRAB,2
0x000000E9,,0x0018D47F;0x0018D480, ERAB;AERAB,2
0x00000ADD,,0x0018D764,LESAB,1
0x00000364,,0x0018D8B7;0x0018D8BC, RSAB;ERSAB,2
0x00000366,,0x0018D9AA;0x0018DB90;0x0018DB95,  TAB; RTAB;ERTAB,3
0x00000870,,0x0018DB18,OMTAB,1
0x000010CC,,0x0018DBCB,ETTAB,1
0x00000459,,0x0018DC4D;0x0018DC5D, YTAB;PYTAB,2
0x00000EBF,,0x0018F0DB,XCABB,1
0x00000540,,0x0018F7C0,GOCBB,1
0x000008D6,,0x0018F867,LUCBB,1
0x000008D5,,0x001900A1,LRFBB,1
0x000008C0,,0x0019021B,LEGBB,1
0x000010AE,,0x001917B1,CUNBB,1
0x0000078D,,0x00191CD1,SOPBB,1
0x00000746,,0x00191CD1,SOPBB,1
0x000009AC,,0x00191D14,ERPBB,1
0x00000F11,,0x00192261,LNRBB,1
0x00000F14,,0x001922CD,LRRBB,1
